ranking,game_id,name,min_players,max_players,avg_timeplay,min_timeplay,max_timeplay,year,avg_rating,num_votes,age,category,designer,weight
2054,21287,Bison: Thunder on the Prairie,2,4,90,90,90,2006,6.38853,1157,10,"American West, Animals, Territory Building","Michael Kiesling, Wolfgang Kramer",2.7255
2068,3230,Tyros,3,4,90,90,90,2002,6.52216,828,10,"Ancient, Civilization, Nautical, Negotiation",Martin Wallace,2.4712
2082,24843,Graenaland,3,5,90,90,90,2006,6.7372,600,12,"Civilization, Medieval",Vlaada ChvÌÊtil,3.0123
2085,188314,Topoum,2,4,90,90,90,2016,7.57232,315,14,"Territory Building, World War I",Perepau Llistosella,2.5294
2091,29581,Tomb,1,6,90,90,90,2008,6.34925,1290,12,"Adventure, Exploration, Fantasy, Fighting, Medieval",John Zinser,2.6313
2098,2539,Urland,3,5,90,90,90,2001,6.5925,706,12,Prehistoric,"Doris Matth_us, Frank Nestel",2.5634
2102,193560,Escape the Room: Mystery at the Stargazer's Manor,3,8,90,90,90,2016,6.70603,614,10,Party Game,"Rebecca Bleau, Nicholas Cravotta",1.6471
2118,151771,La Cosa Nostra,3,5,90,90,90,2014,7.82621,253,16,"Bluffing, Card Game, Mafia, Negotiation",Johannes Sich,2.85
2135,156442,Asking for Trobils,2,7,90,90,90,2015,7.17824,386,12,Science Fiction,"Erin McDonald, Christian Strain",2.0625
2140,179820,Tail Feathers,2,4,90,90,90,2015,7.51897,311,9,"Aviation / Flight, Fantasy, Miniatures",Jerry Hawthorne,3
2168,112869,Munchkin Apocalypse,3,6,90,90,90,2012,6.6199,845,10,"Card Game, Fighting, Humor",Steve Jackson (I),2.0857
2196,65225,Road Kill Rally,3,6,90,23,90,2010,6.47175,822,12,"Fighting, Humor, Racing",Daniel A. George (I),2.038
2201,124668,The Dwarves,2,5,90,90,90,2012,6.89326,460,10,"Fantasy, Novel-based, Wargame","Michael Palm, Lukas Zach",2.5
2247,31920,Munchkin Booty,3,6,90,90,90,2008,6.32149,1568,10,"Card Game, Fighting, Humor, Pirates",Steve Jackson (I),1.939
2252,27680,1936: Guerra Civil,2,2,90,90,90,2006,7.64946,278,12,"Card Game, Civil War, Political, Wargame",Arturo Garcia,3
2256,8166,Anno 1503,2,4,90,90,90,2003,6.31704,1144,10,"City Building, Civilization, Exploration, Video Game Theme",Klaus Teuber,2.3704
2292,19358,Western Town,2,4,90,90,90,2005,7.1668,334,12,"American West, City Building",Olivier Warnier,3.5122
2295,164865,B-Sieged: Sons of the Abyss,1,6,90,90,90,2016,6.85909,568,13,"Fantasy, Miniatures","VÌ¥ctor FernÌÊndez, Gorka Mata, Sergi Sol_ Pascual",3
2296,122690,Star Trek Deck Building Game: The Original Series,2,4,90,90,90,2012,6.76889,487,13,"Adventure, Card Game, Exploration, Fantasy, Fighting, Movies / TV / Radio theme, Science Fiction, Space Exploration",Alex Bykov,2.5714
2346,111502,Star Trek Deck Building Game: The Next Generation ? The Next Phase,2,4,90,90,90,2012,6.81756,464,13,"Adventure, Exploration, Fighting, Movies / TV / Radio theme, Negotiation, Science Fiction, Space Exploration",Alex Bykov,2.4545
2357,88513,Chicken Caesar,3,6,90,90,90,2012,6.78,474,12,"Ancient, Humor, Negotiation, Political","Bryan Fischer, John Sizemore",2.7568
2364,313,Big Boss,2,6,90,90,90,1994,7.0824,339,10,Economic,Wolfgang Kramer,2.4231
2370,40276,Masters of Venice,2,5,90,90,90,2009,6.65324,534,15,"Economic, Renaissance",Frank DiLorenzo,3.6133
2380,198190,Kepler-3042,1,4,90,23,90,2016,7.55095,264,14,"Science Fiction, Space Exploration",Simone Cerruti Sola,3.4762
